Model Name,Key Visual Image,Storage,Color en_HK,color zh_HK,showInHKBuyPage,Estore Exclusive,SKU,RRP,LSV Discount,InStockStatus,oosLink hk,oosLink hk_em,Gift1,Gift2,Gift3
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zkptgy-550821367?imbypass=true,1TB+16GB,Black,æ˜Ÿæ›œé»‘,TRUE,N,SM-S9480ZKPTGY,13798,500,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480lbptgy-550821255?imbypass=true,1TB+16GB,Sky Blue,æ˜Ÿæ¾„è—,TRUE,N,SM-S9480LBPTGY,13798,500,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zvptgy-550821482?imbypass=true,1TB+16GB,Cobalt Violet,æ˜Ÿæš®ç´«,TRUE,N,SM-S9480ZVPTGY,13798,500,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-578324-sm-s9480zdptgy-550823859?imbypass=true,1TB+16GB,Pink Gold,æ˜Ÿç‘°é‡‘,TRUE,Y,SM-S9480ZDPTGY,13798,500,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-578324-sm-s9480zsptgy-550823970?imbypass=true,1TB+16GB,Silver Shadow,æ˜ŸæœˆéŠ€,TRUE,Y,SM-S9480ZSPTGY,13798,500,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zkptgy-550821367?imbypass=true,512GB+12GB,Black,æ˜Ÿæ›œé»‘,TRUE,N,SM-S9480ZKOTGY,11798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480lbptgy-550821255?imbypass=true,512GB+12GB,Sky Blue,æ˜Ÿæ¾„è—,TRUE,N,SM-S9480LBOTGY,11798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zvptgy-550821482?imbypass=true,512GB+12GB,Cobalt Violet,æ˜Ÿæš®ç´«,TRUE,N,SM-S9480ZVOTGY,11798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zwotgy-550821557?imbypass=true,512GB+12GB,White,æ˜Ÿéœœç™½,TRUE,N,SM-S9480ZWOTGY,11798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-578324-sm-s9480zdptgy-550823859?imbypass=true,512GB+12GB,Pink Gold,æ˜Ÿç‘°é‡‘,TRUE,Y,SM-S9480ZDOTGY,11798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
